a52dec 0.8.0-2
abseil-cpp 20230802.1-1
accountsservice 23.13.9-1
acl 2.3.1-3
adobe-source-code-pro-fonts 2.042u+1.062i+1.026vf-1
adwaita-cursors 45.0-1
adwaita-icon-theme 45.0-1
alsa-lib 1.2.10-2
alsa-plugins 1:1.2.7.1-2
alsa-topology-conf 1.2.5.1-3
alsa-ucm-conf 1.2.10-2
amd-ucode 20240115.9b6d0b08-1
aom 3.8.1-1
appstream 1.0.1-2
appstream-qt5 1.0.1-2
archlinux-keyring 20231222-1
argon2 20190702-5
aribb24 1.0.3-3
ark 23.08.4-1
asar 3.2.4-1
at-spi2-core 2.50.1-1
atkmm 2.28.3-1
attica5 5.114.0-1
attr 2.5.2-1
audiofile 0.3.6-8
audit 4.0-1
autoconf 2.72-1
automake 1.16.5-2
avahi 1:0.8+r194+g3f79789-1
ayatana-ido 0.10.1-1
baloo-widgets 23.08.4-1
baloo5 5.114.0-1
base 3-2
base-devel 1-1
bash 5.2.026-2
bashtop 0.9.25-1
bc 1.07.1-4
binutils 2.41-3
bison 3.8.2-6
blas 3.12.0-3
blueman 2.3.5-2
bluez 5.72-2
bluez-libs 5.72-2
bluez-utils 5.72-2
boost-libs 1.83.0-4
box2d 2.4.1-2
breeze 5.27.10-1
breeze-icons 5.114.0-1
brotli 1.1.0-1
btrfs-progs 6.7-1
bubblewrap 0.8.0-1
bzip2 1.0.8-5
c-ares 1.25.0-1
ca-certificates 20220905-1
ca-certificates-mozilla 3.96.1-1
ca-certificates-utils 20220905-1
cairo 1.18.0-1
cairomm 1.14.5-1
cantarell-fonts 1:0.303.1-1
cdparanoia 10.2-9
chromaprint 1.5.1-7
chrono-date 3.0.1-3
cifs-utils 7.0-3
cliphist 1:0.4.0-2
clucene 2.3.3.4-14
cmake 3.28.1-1
convertlit 1.8-11
coreutils 9.4-2
cppdap 1.58.0-1
cryptsetup 2.6.1-3
curl 8.5.0-1
dav1d 1.3.0-1
db 6.2.32-1
db5.3 5.3.28-4
dbus 1.14.10-2
dbus-broker 35-2
dbus-broker-units 35-2
dconf 0.40.0-2
dconf-editor 45.0.1-1
ddcutil 2.1.0-3
debugedit 5.0-5
default-cursors 2-1
desktop-file-utils 0.27-1
device-mapper 2.03.23-1
diffutils 3.10-1
discord 0.0.41-1
dnssec-anchors 20190629-3
dolphin 23.08.4-1
double-conversion 3.3.0-1
duktape 2.7.0-6
dunst 1.9.2-1
e2fsprogs 1.47.0-1
ebook-tools 0.2.2-7
editorconfig-core-c 0.12.6-1
efibootmgr 18-2
efivar 38-3
electron27-bin 27.2.4-1
ell 0.61-1
exiv2 0.28.1-1
expat 2.5.0-1
faad2 2.11.1-1
fakeroot 1.33-1
ferdium 6.7.0-2
ffmpeg 2:6.1.1-2
ffmpeg4.4 4.4.4-3
fftw 3.3.10-4
file 5.45-1
filesystem 2024.01.19-1
findutils 4.9.0-3
firefox 121.0.1-1
flac 1.4.3-1
flatpak 1:1.15.6-2
flex 2.6.4-5
fluidsynth 2.3.4-1
fmt 10.2.0-1
fontconfig 2:2.15.0-2
frameworkintegration5 5.114.0-1
freetube-bin 0.19.1-1
freetype2 2.13.2-1
fribidi 1.0.13-2
fuse-common 3.16.2-1
fuse2 2.9.9-4
fuse3 3.16.2-1
galendae-git r49.7cf032b-1
gawk 5.3.0-1
gc 8.2.4-1
gcc 13.2.1-3
gcc-fortran 13.2.1-3
gcc-libs 13.2.1-3
gcr 3.41.2-1
gcr-4 4.1.0-1
gdbm 1.23-2
gdk-pixbuf2 2.42.10-2
geoclue 2.7.1-2
gettext 0.22.4-1
giflib 5.2.1-2
git 2.43.0-1
glib-networking 1:2.78.0-1
glib2 2.78.3-1
glibc 2.38-7
glibmm 2.66.6-1
glslang 13.1.1-3
glu 9.0.3-1
gmp 6.3.0-1
